id,Background,Earring,Fur,Eyes,Mouth,Clothes,Hat
292,Blue,,Red,Sleepy,Grin Gold Grill,,Stuntman Helmet
293,Blue,,Cream,Angry,Phoneme Oh,Kings Robe,Horns
294,New Punk Blue,,Trippy,Sad,Bored Cigar,Vietnam Jacket,Fisherman's Hat
295,New Punk Blue,,White,X Eyes,Bored,Caveman Pelt,Safari
296,Gray,Diamond Stud,Black,Sleepy,Discomfort,Hawaiian,Bowler
297,Aquamarine,,Red,Bored,Grin,Toga,Sushi Chef Headband
298,Yellow,,Dmt,Bloodshot,Bored Unshaven Pipe,Cowboy Shirt,
299,Gray,,Blue,Bored,Rage,Tie Dye,S&m Hat
300,Yellow,,Brown,Coins,Bored,,Bayc Hat Black
301,Army Green,,Pink,Crazy,Bored,Sailor Shirt,Commie Hat
302,Army Green,,Black,Sunglasses,Phoneme Oh,Stunt Jacket,Fez
303,Gray,,Golden Brown,Hypnotized,Bored,Service,
304,New Punk Blue,,Gray,Angry,Grin,Black T,
305,Gray,,Black,Bored,Bored,,Horns
306,Blue,Gold Hoop,Golden Brown,Wide Eyed,Bored Kazoo,Hawaiian,
307,Purple,,Pink,3d,Bored,Bayc T Red,Army Hat
308,Purple,Silver Hoop,Black,3d,Bored Unshaven,Service,
309,Gray,,Cream,Blindfold,Bored,,
310,Purple,,Blue,Closed,Bored Cigar,Sleeveless Logo T,Sea Captain's Hat
311,New Punk Blue,,Gray,Bored,Bored Unshaven Cigarette,Caveman Pelt,
312,Aquamarine,,Black,3d,Bored,Black T,Bayc Flipped Brim
313,Aquamarine,,Pink,Bored,Bored Unshaven,Tie Dye,Bayc Hat Black
314,Aquamarine,Gold Hoop,Golden Brown,Bored,Bored Unshaven Cigarette,Caveman Pelt,Beanie
315,Purple,Silver Stud,Pink,Cyborg,Grin,,Vietnam Era Helmet
316,Army Green,Silver Hoop,Noise,Bored,Bored,Bone Necklace,Bowler
317,New Punk Blue,,Golden Brown,Sleepy,Dumbfounded,Striped Tee,Bayc Hat Black
318,Purple,,Zombie,Sleepy,Dumbfounded,Sleeveless T,
319,New Punk Blue,,Pink,Bored,Grin Gold Grill,Stunt Jacket,Party Hat 2
320,Purple,Silver Stud,Golden Brown,Scumbag,Small Grin,Hawaiian,Halo
321,New Punk Blue,Gold Hoop,Cheetah,Sleepy,Bored,Navy Striped Tee,
322,Purple,,Dark Brown,Bloodshot,Phoneme  ooo,Tie Dye,Fisherman's Hat
323,Army Green,,Golden Brown,Zombie,Bored Unshaven Cigarette,Smoking Jacket,Beanie
324,New Punk Blue,,Dark Brown,Bored,Bored Unshaven Cigarette,,
325,Aquamarine,,Gray,Blindfold,Bored,Sleeveless Logo T,Cowboy Hat
326,New Punk Blue,,Gray,Closed,Bored,Blue Dress,Horns
327,Yellow,Silver Hoop,Red,Wide Eyed,Bored,,
328,Orange,Silver Stud,Brown,Bored,Dumbfounded,Tanktop,Halo
329,Army Green,,Golden Brown,Heart,Bored,Sailor Shirt,Seaman's Hat
330,New Punk Blue,,Black,Sad,Phoneme L,Service,
331,Aquamarine,,Brown,Scumbag,Grin,Toga,Seaman's Hat
